"",""
"Action","Action"
"Add Canvas","Add Canvas"
"An error occurred while updating the canvases.","An error occurred while updating the canvases."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Canvas Code","Canvas Code"
"Canvas Mockup","Canvas Mockup"
"Canvas Thumbnail","Canvas Thumbnail"
"Canvas was saved","Canvas was saved"
"Canvas was successfully deleted.","Canvas was successfully deleted."
"Canvas was successfully saved","Canvas was successfully saved"
"Canvas","Canvas"
"Canvases","Canvases"
"Change status","Change status"
"Could not find canvas to delete.","Could not find canvas to delete."
"Created at","Created at"
"Delete Canvas","Delete Canvas"
"Delete","Delete"
"Disabled","Disabled"
"Edit Canvas '%s'","Edit Canvas '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving canvas","Error saving canvas"
"Excel","Excel"
"Fit Shape","Fit Shape"
"Height","Height"
"Home","Home"
"Id","Id"
"No","No"
"None","None"
"Part Config","Part Config"
"Please select canvases to delete.","Please select canvases to delete."
"Please select canvases.","Please select canvases."
"Price","Price"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Canvas","Save Canvas"
"Special Price","Special Price"
"Split Count","Split Count"
"Status","Status"
"Store views","Store views"
"The canvases has been deleted.","The canvases has been deleted."
"There was a problem saving the canvas.","There was a problem saving the canvas."
"There was an error deleting canvas.","There was an error deleting canvas."
"There was an error deleting canvases.","There was an error deleting canvases."
"There was an error updating canvases.","There was an error updating canvases."
"This canvas no longer exists.","This canvas no longer exists."
"Total of %d canvases were successfully deleted.","Total of %d canvases were successfully deleted."
"Total of %d canvases were successfully updated.","Total of %d canvases were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find canvas to save.","Unable to find canvas to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"Width","Width"
"XML","XML"
"Yes","Yes"